variavel,prio,g,media,sd,min,max,N
any,496.0901749663526,NA,NA,NA,NA,NA,NA
any,54.07358665705988,NA,NA,NA,NA,NA,NA
any,404,NA,NA,NA,NA,NA,NA
any,625,NA,NA,NA,NA,NA,NA
any,743,NA,NA,NA,NA,NA,NA
war,496.0901749663526,NA,NA,NA,NA,NA,NA
war,54.07358665705988,NA,NA,NA,NA,NA,NA
war,404,NA,NA,NA,NA,NA,NA
war,625,NA,NA,NA,NA,NA,NA
war,743,NA,NA,NA,NA,NA,NA
gdp,NA,496.0901749663526,NA,NA,NA,NA,NA
gdp,NA,54.07358665705988,NA,NA,NA,NA,NA
gdp,NA,404,NA,NA,NA,NA,NA
gdp,NA,625,NA,NA,NA,NA,NA
gdp,NA,743,NA,NA,NA,NA,NA
gdp,NA,496.0901749663526,NA,NA,NA,NA,NA
gdp,NA,54.07358665705988,NA,NA,NA,NA,NA
gdp,NA,404,NA,NA,NA,NA,NA
gdp,NA,625,NA,NA,NA,NA,NA
gdp,NA,743,NA,NA,NA,NA,NA
gpcp,NA,496.0901749663526,NA,NA,NA,NA,NA
gpcp,NA,54.07358665705988,NA,NA,NA,NA,NA
gpcp,NA,404,NA,NA,NA,NA,NA
gpcp,NA,625,NA,NA,NA,NA,NA
gpcp,NA,743,NA,NA,NA,NA,NA
gpcp,NA,496.0901749663526,NA,NA,NA,NA,NA
gpcp,NA,54.07358665705988,NA,NA,NA,NA,NA
gpcp,NA,404,NA,NA,NA,NA,NA
gpcp,NA,625,NA,NA,NA,NA,NA
gpcp,NA,743,NA,NA,NA,NA,NA
lgdpenl1,NA,NA,6.7626395308955365,0.5967140579199282,5.281613349914551,8.475746154785156,743
polity2l,NA,NA,496.0901749663526,54.07358665705988,404,625,743
ethfrac,NA,NA,496.0901749663526,54.07358665705988,404,625,743
relfrac,NA,NA,496.0901749663526,54.07358665705988,404,625,743
oil,NA,NA,496.0901749663526,54.07358665705988,404,625,743
lmtnest,NA,NA,496.0901749663526,54.07358665705988,404,625,743
lpopl1,NA,NA,496.0901749663526,54.07358665705988,404,625,743
