ccode,year_actual,country_name,country_code,any_prio,war_prio,gdp_g,gdp_g_l,gpcp_g,gpcp_g_l,lgdpenl1,polity2l,ethfrac,relfrac,oil,lmtnest,lpopl1,year_trend
404,1981,404,404,404,404,404,404,404,404,6.154858112335205,404,404,404,404,404,404,0
404,1982,404,404,404,404,404,404,404,404,6.35088586807251,404,404,404,404,404,404,1
404,1983,404,404,404,404,404,404,404,404,6.450470447540283,404,404,404,404,404,404,2
404,1984,404,404,404,404,404,404,404,404,6.406879901885986,404,404,404,404,404,404,3
404,1985,404,404,404,404,404,404,404,404,6.440946578979492,404,404,404,404,404,404,4
404,1986,404,404,404,404,404,404,404,404,6.476972579956055,404,404,404,404,404,404,5
404,1987,404,404,404,404,404,404,404,404,6.440946578979492,404,404,404,404,404,404,6
404,1988,404,404,404,404,404,404,404,404,6.440946578979492,404,404,404,404,404,404,7
404,1989,404,404,404,404,404,404,404,404,6.483107566833496,404,404,404,404,404,404,8
404,1990,404,404,404,404,404,404,404,404,6.548219203948975,404,404,404,404,404,404,9
404,1991,404,404,404,404,404,404,404,404,6.53524112701416,404,404,404,404,404,404,10
404,1992,404,404,404,404,404,404,404,404,6.385194301605225,404,404,404,404,404,404,11
404,1993,404,404,404,404,404,404,404,404,6.4520487785339355,404,404,404,404,404,404,12
404,1994,404,404,404,404,404,404,404,404,6.450860023498535,404,404,404,404,404,404,13
404,1995,404,404,404,404,404,404,404,404,6.458970069885254,404,404,404,404,404,404,14
404,1996,404,404,404,404,404,404,404,404,6.477212429046631,404,404,404,404,404,404,15
404,1997,404,404,404,404,404,404,404,404,6.498598575592041,404,404,404,404,404,404,16
404,1998,404,404,404,404,404,404,404,404,6.528833389282227,404,404,404,404,404,404,17
404,1999,404,404,404,404,404,404,404,404,6.177819728851318,404,404,404,404,404,404,18
420,1981,420,420,420,420,420,420,420,420,6.924612522125244,420,420,420,420,420,420,0
420,1982,420,420,420,420,420,420,420,420,6.790097236633301,420,420,420,420,420,420,1
420,1983,420,420,420,420,420,420,420,420,6.770789623260498,420,420,420,420,420,420,2
420,1984,420,420,420,420,420,420,420,420,6.580639362335205,420,420,420,420,420,420,3
420,1985,420,420,420,420,420,420,420,420,6.685861110687256,420,420,420,420,420,420,4
420,1986,420,420,420,420,420,420,420,420,6.6450910568237305,420,420,420,420,420,420,5
420,1987,420,420,420,420,420,420,420,420,6.736967086791992,420,420,420,420,420,420,6
420,1988,420,420,420,420,420,420,420,420,6.748759746551514,420,420,420,420,420,420,7
420,1989,420,420,420,420,420,420,420,420,6.68959903717041,420,420,420,420,420,420,8
420,1990,420,420,420,420,420,420,420,420,6.694561958312988,420,420,420,420,420,420,9
420,1991,420,420,420,420,420,420,420,420,6.683361053466797,420,420,420,420,420,420,10
420,1992,420,420,420,420,420,420,420,420,6.670243263244629,420,420,420,420,420,420,11
420,1993,420,420,420,420,420,420,420,420,6.662755966186523,420,420,420,420,420,420,12
420,1994,420,420,420,420,420,420,420,420,6.654703617095947,420,420,420,420,420,420,13
420,1995,420,420,420,420,420,420,420,420,6.621504306793213,420,420,420,420,420,420,14
420,1996,420,420,420,420,420,420,420,420,6.598543167114258,420,420,420,420,420,420,15
420,1997,420,420,420,420,420,420,420,420,6.589622974395752,420,420,420,420,420,420,16
420,1998,420,420,420,420,420,420,420,420,6.607373237609863,420,420,420,420,420,420,17
420,1999,420,420,420,420,420,420,420,420,6.62595272064209,420,420,420,420,420,420,18
432,1981,432,432,432,432,432,432,432,432,6.2766432762146,432,432,432,432,432,432,0
432,1982,432,432,432,432,432,432,432,432,6.2383246421813965,432,432,432,432,432,432,1
432,1983,432,432,432,432,432,432,432,432,6.261491775512695,432,432,432,432,432,432,2
432,1984,432,432,432,432,432,432,432,432,6.220590114593506,432,432,432,432,432,432,3
432,1985,432,432,432,432,432,432,432,432,6.226536750793457,432,432,432,432,432,432,4
432,1986,432,432,432,432,432,432,432,432,6.2766432762146,432,432,432,432,432,432,5
432,1987,432,432,432,432,432,432,432,432,6.309918403625488,432,432,432,432,432,432,6
432,1988,432,432,432,432,432,432,432,432,6.272877216339111,432,432,432,432,432,432,7
432,1989,432,432,432,432,432,432,432,432,6.2461066246032715,432,432,432,432,432,432,8
432,1990,432,432,432,432,432,432,432,432,6.320768356323242,432,432,432,432,432,432,9
432,1991,432,432,432,432,432,432,432,432,6.274762153625488,432,432,432,432,432,432,10
432,1992,432,432,432,432,432,432,432,432,6.2045578956604,432,432,432,432,432,432,11
432,1993,432,432,432,432,432,432,432,432,6.25795316696167,432,432,432,432,432,432,12
432,1994,432,432,432,432,432,432,432,432,6.21062707901001,432,432,432,432,432,432,13
432,1995,432,432,432,432,432,432,432,432,6.194957733154297,432,432,432,432,432,432,14
432,1996,432,432,432,432,432,432,432,432,6.231395721435547,432,432,432,432,432,432,15
432,1997,432,432,432,432,432,432,432,432,6.239246368408203,432,432,432,432,432,432,16
432,1998,432,432,432,432,432,432,432,432,6.280815601348877,432,432,432,432,432,432,17
432,1999,432,432,432,432,432,432,432,432,6.290592670440674,432,432,432,432,432,432,18
433,1981,433,433,433,433,433,433,433,433,7.033506393432617,433,433,433,433,433,433,0
433,1982,433,433,433,433,433,433,433,433,7.037906169891357,433,433,433,433,433,433,1
433,1983,433,433,433,433,433,433,433,433,7.092573642730713,433,433,433,433,433,433,2
433,1984,433,433,433,433,433,433,433,433,7.080026626586914,433,433,433,433,433,433,3
433,1985,433,433,433,433,433,433,433,433,7.02731466293335,433,433,433,433,433,433,4
433,1986,433,433,433,433,433,433,433,433,7.05875825881958,433,433,433,433,433,433,5
433,1987,433,433,433,433,433,433,433,433,7.051855564117432,433,433,433,433,433,433,6
433,1988,433,433,433,433,433,433,433,433,7.065613269805908,433,433,433,433,433,433,7
433,1989,433,433,433,433,433,433,433,433,7.066466808319092,433,433,433,433,433,433,8
433,1990,433,433,433,433,433,433,433,433,7.037906169891357,433,433,433,433,433,433,9
433,1991,433,433,433,433,433,433,433,433,7.0431599617004395,433,433,433,433,433,433,10
433,1992,433,433,433,433,433,433,433,433,7.021083831787109,433,433,433,433,433,433,11
433,1993,433,433,433,433,433,433,433,433,7.017777919769287,433,433,433,433,433,433,12
433,1994,433,433,433,433,433,433,433,433,6.96910285949707,433,433,433,433,433,433,13
433,1995,433,433,433,433,433,433,433,433,6.9714226722717285,433,433,433,433,433,433,14
433,1996,433,433,433,433,433,433,433,433,6.995744705200195,433,433,433,433,433,433,15
433,1997,433,433,433,433,433,433,433,433,7.018592834472656,433,433,433,433,433,433,16
433,1998,433,433,433,433,433,433,433,433,7.039892673492432,433,433,433,433,433,433,17
433,1999,433,433,433,433,433,433,433,433,7.067943096160889,433,433,433,433,433,433,18
434,1981,434,434,434,434,434,434,434,434,7.015712261199951,434,434,434,434,434,434,0
434,1982,434,434,434,434,434,434,434,434,7.070724010467529,434,434,434,434,434,434,1
434,1983,434,434,434,434,434,434,434,434,6.925595283508301,434,434,434,434,434,434,2
434,1984,434,434,434,434,434,434,434,434,6.9157233238220215,434,434,434,434,434,434,3
434,1985,434,434,434,434,434,434,434,434,6.940222263336182,434,434,434,434,434,434,4
434,1986,434,434,434,434,434,434,434,434,7.010312080383301,434,434,434,434,434,434,5
434,1987,434,434,434,434,434,434,434,434,6.968850612640381,434,434,434,434,434,434,6
434,1988,434,434,434,434,434,434,434,434,6.902742862701416,434,434,434,434,434,434,7
434,1989,434,434,434,434,434,434,434,434,6.902742862701416,434,434,434,434,434,434,8
434,1990,434,434,434,434,434,434,434,434,6.825459957122803,434,434,434,434,434,434,9
434,1991,434,434,434,434,434,434,434,434,6.824373722076416,434,434,434,434,434,434,10
434,1992,434,434,434,434,434,434,434,434,6.852242469787598,434,434,434,434,434,434,11
434,1993,434,434,434,434,434,434,434,434,6.862149238586426,434,434,434,434,434,434,12
434,1994,434,434,434,434,434,434,434,434,6.86777925491333,434,434,434,434,434,434,13
434,1995,434,434,434,434,434,434,434,434,6.882341384887695,434,434,434,434,434,434,14
434,1996,434,434,434,434,434,434,434,434,6.899576187133789,434,434,434,434,434,434,15
434,1997,434,434,434,434,434,434,434,434,6.925858497619629,434,434,434,434,434,434,16
434,1998,434,434,434,434,434,434,434,434,6.953806400299072,434,434,434,434,434,434,17
434,1999,434,434,434,434,434,434,434,434,6.970360279083252,434,434,434,434,434,434,18
435,1981,435,435,435,435,435,435,435,435,6.785587787628174,435,435,435,435,435,435,0
435,1982,435,435,435,435,435,435,435,435,6.788971900939941,435,435,435,435,435,435,1
435,1983,435,435,435,435,435,435,435,435,6.785587787628174,435,435,435,435,435,435,2
435,1984,435,435,435,435,435,435,435,435,6.844815254211426,435,435,435,435,435,435,3
435,1985,435,435,435,435,435,435,435,435,6.741700649261475,435,435,435,435,435,435,4
435,1986,435,435,435,435,435,435,435,435,6.714170455932617,435,435,435,435,435,435,5
435,1987,435,435,435,435,435,435,435,435,6.732210636138916,435,435,435,435,435,435,6
435,1988,435,435,435,435,435,435,435,435,6.695798873901367,435,435,435,435,435,435,7
435,1989,435,435,435,435,435,435,435,435,6.669497966766357,435,435,435,435,435,435,8
435,1990,435,435,435,435,435,435,435,435,6.694561958312988,435,435,435,435,435,435,9
435,1991,435,435,435,435,435,435,435,435,6.673297882080078,435,435,435,435,435,435,10
