first_stage_equation,term,estimate,std.error,statistic,p.value,conf.low,conf.high
iv: First stage: gdp_g,gpcp_g,0.047751700238933506,0.01678995983647537,2.8440628032471684,0.006985801866682242,0.013817925609202399,0.08168547486866462
iv: First stage: gdp_g,gpcp_g_l,0.024796300711619017,0.014134056083806195,1.7543655242764227,0.08702665241878496,-0.003769692204570345,0.05336229362780838
iv: First stage: gdp_g,polity2l,-8.957933265656274e-4,7.312123260245185e-4,-1.2250796310230556,0.22771048875695385,-0.002373628563782389,5.820419106511343e-4
iv: First stage: gdp_g,oil,-0.05079708927239312,0.015149318182200453,-3.3530940905364752,0.0017568735542916793,-0.08141500343035782,-0.020179175114428415
iv: First stage: gdp_g,lpopl1,-0.31243475277944094,0.22996484363788813,-1.358619638710573,0.18187998284390827,-0.7772110388916068,0.15234153333272493
iv: First stage: gdp_g_l,gpcp_g,-0.013107186809520244,0.01626660795723784,-0.8057725890964373,0.42513843032304277,-0.04598322783565384,0.019768854216613355
iv: First stage: gdp_g_l,gpcp_g_l,0.032559014018254714,0.016754117569845822,1.943344009764779,0.05903460214596279,-0.0013023206884586191,0.06642034872496805
iv: First stage: gdp_g_l,polity2l,-3.985257697335607e-4,8.23636294300235e-4,-0.48386135056390384,0.6311228308538659,-0.0020631568147068207,0.001266105275239699
iv: First stage: gdp_g_l,oil,-0.04097488470075775,0.005439841175099885,-7.532367836089511,3.4389503011463186e-9,-0.05196921382692688,-0.029980555574588612
iv: First stage: gdp_g_l,lpopl1,-0.27226150103360225,0.1252754390569785,-2.17330310780049,0.035736727181252606,-0.5254526079214747,-0.019070394145729697
