modelo,desfecho,tipo,term,estimate,std.error,statistic,p.value,conf.low,conf.high
OLS simples (any_prio),any_prio,OLS,(Intercept),0.265958671733433,0.05195088209877444,5.119425522511142,8.086255011230023e-6,0.1609620224188973,0.37095532104796874
OLS simples (any_prio),any_prio,OLS,gdp_g,-0.3094018266717935,0.2753100998463372,-1.1238302802711722,0.2677845823305191,-0.8658242941739885,0.24702064083040154
OLS simples (any_prio),any_prio,OLS,gdp_g_l,-0.07266406400038106,0.2530956786563267,-0.2871011642164387,0.7755169272558143,-0.5841895115255477,0.43886138352478554
OLS ampliado (any_prio),any_prio,OLS,gdp_g,-0.1737422310766307,0.14425351869254366,-1.204422828998287,0.23550463695486,-0.4652894676712167,0.11780500551795528
OLS ampliado (any_prio),any_prio,OLS,gdp_g_l,0.09915782004579723,0.16825989295158536,0.5893134620876564,0.558964980305821,-0.2409081087742199,0.4392237488658144
OLS ampliado (any_prio),any_prio,OLS,polity2l,3.500341632098246e-4,0.004395936354226316,0.07962675867072024,0.9369311577508818,-0.008534484619669663,0.009234552946089313
OLS ampliado (any_prio),any_prio,OLS,oil,0.06796011198824539,0.04411663332656504,1.5404646017565191,0.13132170758430123,-0.021202929931240788,0.15712315390773157
OLS ampliado (any_prio),any_prio,OLS,lpopl1,0.8055130945045812,0.7076883947029193,1.1382313183795076,0.2617955980287537,-0.6247785040348415,2.235804693044004
Reduced form (any_prio),any_prio,RF,gpcp_g,-0.020645683970439498,0.042029862582770965,-0.4912146436306135,0.6259591558682209,-0.10559120489443236,0.06429983695355335
Reduced form (any_prio),any_prio,RF,gpcp_g_l,-0.11382224908738202,0.05046377743934458,-2.255523761061917,0.029640232146268004,-0.21581334777193428,-0.011831150402829754
Reduced form (any_prio),any_prio,RF,polity2l,4.680175306669255e-4,0.004461407733154048,0.10490355481050254,0.9169766171449483,-0.008548823844932817,0.009484858906266666
Reduced form (any_prio),any_prio,RF,oil,0.06858745753465142,0.03706833610679359,1.850297713311207,0.07166683016188227,-0.006330444330390553,0.1435053593996934
Reduced form (any_prio),any_prio,RF,lpopl1,0.7553048727058034,0.7029977937381388,1.0744057512464238,0.2890794655960017,-0.6655066676579544,2.176116413069561
IV second stage (any_prio),any_prio,IV,fit_gdp_g,-1.151261262938478,1.4590559484444676,-0.7890453167103452,0.43473763429708645,-4.10012333341957,1.7976008075426142
